"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butts,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Puerto Rico,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
Alabama,"604,287 ","+/- 20,130","1,253 ","+/- 1,131","1,005 ",+/- 610,"1,580 ",+/- 795,"4,643 ","+/- 1,502",981 ,+/- 647,514 ,+/- 664,0 ,+/- 267,0 ,+/- 267,"18,536 ","+/- 2,969","26,244 ","+/- 4,872",988 ,"+/- 1,004",37 ,+/- 64,"2,345 ","+/- 1,068","3,616 ","+/- 1,812",243 ,+/- 207,351 ,+/- 268,"2,453 ",+/- 775,"4,346 ","+/- 1,727",64 ,+/- 94,"2,195 ","+/- 1,081",522 ,+/- 473,"5,007 ","+/- 1,901",701 ,+/- 562,"10,358 ","+/- 2,691","1,270 ",+/- 649,85 ,+/- 117,603 ,+/- 555,620 ,+/- 704,240 ,+/- 395,"2,922 ","+/- 1,569",726 ,+/- 537,"4,909 ","+/- 1,681","4,868 ","+/- 1,933",0 ,+/- 267,"2,859 ","+/- 1,029",862 ,+/- 609,151 ,+/- 159,"1,991 ","+/- 1,106",320 ,+/- 446,139 ,+/- 163,"1,848 ",+/- 931,0 ,+/- 267,"9,812 ","+/- 2,326","9,001 ","+/- 2,623",184 ,+/- 243,65 ,+/- 102,"4,390 ","+/- 1,563","1,023 ","+/- 1,120",361 ,+/- 348,590 ,+/- 483,294 ,+/- 292
Alaska,"1,151 ",+/- 972,"98,512 ","+/- 8,275","2,320 ","+/- 1,271",386 ,+/- 412,"3,985 ","+/- 1,208","1,771 ",+/- 903,164 ,+/- 269,0 ,+/- 237,0 ,+/- 237,956 ,+/- 603,"1,639 ","+/- 1,093","1,119 ",+/- 661,168 ,+/- 158,559 ,+/- 364,196 ,+/- 203,0 ,+/- 237,555 ,+/- 819,267 ,+/- 309,325 ,+/- 498,338 ,+/- 312,938 ,+/- 681,359 ,+/- 411,"1,061 ",+/- 882,172 ,+/- 202,99 ,+/- 164,843 ,+/- 872,897 ,+/- 692,185 ,+/- 187,210 ,+/- 271,0 ,+/- 237,113 ,+/- 203,307 ,+/- 292,569 ,+/- 489,386 ,+/- 357,191 ,+/- 207,303 ,+/- 335,319 ,+/- 274,"1,740 ","+/- 1,188",550 ,+/- 362,216 ,+/- 320,0 ,+/- 237,860 ,+/- 731,68 ,+/- 110,"1,484 ","+/- 1,116","3,460 ","+/- 1,514",372 ,+/- 350,0 ,+/- 237,"1,028 ",+/- 939,"3,368 ","+/- 1,456",0 ,+/- 237,586 ,+/- 548,0 ,+/- 237
Arizona,"1,678 ","+/- 1,346","1,994 ",+/- 908,"929,396 ","+/- 27,779","1,432 ",+/- 811,"65,684 ","+/- 9,806","10,555 ","+/- 2,256","1,026 ",+/- 607,371 ,+/- 396,613 ,+/- 408,"5,693 ","+/- 1,790","4,160 ","+/- 2,149","2,966 ","+/- 1,320","1,910 ",+/- 944,"11,447 ","+/- 3,427","5,633 ","+/- 2,066","2,570 ","+/- 1,157","3,357 ","+/- 1,401",754 ,+/- 598,"1,178 ",+/- 641,"1,053 ",+/- 793,"2,248 ","+/- 1,102","5,328 ","+/- 2,505","12,012 ","+/- 3,085","7,949 ","+/- 2,464",436 ,+/- 423,"6,354 ","+/- 2,172","1,063 ",+/- 574,"1,388 ","+/- 1,040","10,394 ","+/- 3,234",529 ,+/- 467,"4,214 ","+/- 2,005","10,332 ","+/- 3,535","5,843 ","+/- 1,791","3,803 ","+/- 1,458",985 ,+/- 670,"6,477 ","+/- 2,184","2,830 ",+/- 914,"7,151 ","+/- 2,512","3,616 ","+/- 1,056",145 ,+/- 185,168 ,+/- 197,"1,490 ",+/- 812,752 ,+/- 477,"2,585 ",+/- 911,"13,890 ","+/- 3,071","7,662 ","+/- 2,078",227 ,+/- 368,"3,766 ","+/- 1,714","9,194 ","+/- 2,213",759 ,+/- 562,"4,049 ","+/- 1,888","1,219 ",+/- 943
Arkansas,"2,065 ","+/- 1,351",410 ,+/- 506,930 ,+/- 637,"425,248 ","+/- 16,470","7,139 ","+/- 1,890","1,148 ",+/- 807,508 ,+/- 572,0 ,+/- 267,72 ,+/- 118,"2,923 ",+/- 984,"1,023 ",+/- 548,149 ,+/- 269,183 ,+/- 177,"2,333 ",+/- 921,"1,176 ",+/- 902,249 ,+/- 223,"2,085 ","+/- 1,005",858 ,+/- 720,"5,563 ","+/- 2,238",0 ,+/- 267,855 ,+/- 951,382 ,+/- 380,"1,771 ","+/- 1,058","1,336 ",+/- 970,"2,948 ","+/- 1,117","6,958 ","+/- 1,880",0 ,+/- 267,555 ,+/- 657,"2,131 ","+/- 1,932","1,320 ","+/- 1,546",332 ,+/- 346,"1,187 ","+/- 1,216","1,206 ",+/- 909,"1,057 ",+/- 639,59 ,+/- 97,979 ,+/- 688,"5,991 ","+/- 1,835",250 ,+/- 210,339 ,+/- 267,553 ,+/- 637,0 ,+/- 267,"1,022 ",+/- 814,113 ,+/- 185,"5,108 ","+/- 1,486","18,459 ","+/- 3,858","1,343 ",+/- 944,0 ,+/- 267,406 ,+/- 496,"1,908 ","+/- 1,424",222 ,+/- 330,"1,599 ","+/- 1,164",498 ,+/- 559
California,"2,527 ","+/- 1,264","5,508 ","+/- 1,924","33,629 ","+/- 6,142","4,098 ","+/- 1,260","4,819,935 ","+/- 72,015","23,652 ","+/- 4,040","6,930 ","+/- 2,395",324 ,+/- 257,"1,853 ",+/- 693,"28,552 ","+/- 5,121","13,499 ","+/- 2,855","15,352 ","+/- 4,254","5,052 ","+/- 2,295","24,219 ","+/- 4,666","7,152 ","+/- 1,926","2,962 ","+/- 1,141","2,793 ","+/- 1,230","3,871 ","+/- 1,389","6,176 ","+/- 2,182","1,374 ",+/- 822,"8,522 ","+/- 2,262","12,018 ","+/- 2,147","15,046 ","+/- 4,406","9,692 ","+/- 2,958","4,442 ","+/- 2,329","9,661 ","+/- 2,974","2,584 ","+/- 1,014","2,700 ","+/- 1,004","29,730 ","+/- 4,634","1,190 ",+/- 731,"9,919 ","+/- 2,355","5,536 ","+/- 1,651","25,255 ","+/- 4,186","12,337 ","+/- 2,734",242 ,+/- 184,"10,141 ","+/- 2,117","4,443 ","+/- 1,739","17,046 ","+/- 2,640","11,695 ","+/- 2,318",599 ,+/- 493,"1,612 ",+/- 820,"3,275 ","+/- 1,217",672 ,+/- 405,"8,140 ","+/- 2,547","36,391 ","+/- 4,262","12,377 ","+/- 3,419",250 ,+/- 233,"14,966 ","+/- 3,603","24,449 ","+/- 3,719",265 ,+/- 262,"5,551 ","+/- 1,496","1,388 ",+/- 996
Colorado,"1,958 ","+/- 1,499","1,905 ","+/- 1,238","10,752 ","+/- 2,778","2,261 ","+/- 1,145","29,278 ","+/- 4,214","709,160 ","+/- 20,730","3,270 ","+/- 2,090",212 ,+/- 252,565 ,+/- 480,"8,594 ","+/- 3,109","3,934 ","+/- 1,593","1,885 ","+/- 1,125","1,142 ",+/- 557,"5,902 ","+/- 1,767","2,821 ","+/- 1,233","1,309 ",+/- 714,"5,977 ","+/- 1,844","1,558 ","+/- 1,057","3,012 ","+/- 1,992","1,177 ",+/- 850,"3,452 ","+/- 1,507","4,013 ","+/- 1,730","2,417 ",+/- 928,"2,965 ","+/- 1,212",181 ,+/- 195,"6,505 ","+/- 2,144","1,398 ",+/- 720,"4,892 ","+/- 1,972","4,858 ","+/- 1,748",391 ,+/- 297,"2,136 ","+/- 1,370","4,450 ","+/- 1,655","4,380 ","+/- 1,753","2,612 ","+/- 1,169","1,025 ",+/- 558,"5,159 ","+/- 2,679","3,974 ","+/- 1,969","5,550 ","+/- 2,858","2,036 ",+/- 902,0 ,+/- 275,"1,295 ","+/- 1,345",576 ,+/- 434,793 ,+/- 473,"2,415 ","+/- 1,577","23,618 ","+/- 4,645","4,529 ","+/- 1,521",426 ,+/- 389,"4,864 ","+/- 1,652","3,639 ","+/- 1,089",369 ,+/- 456,"3,007 ","+/- 1,521","2,446 ",+/- 870
Connecticut,205 ,+/- 250,244 ,+/- 304,701 ,+/- 361,219 ,+/- 218,"4,376 ","+/- 1,457","1,156 ",+/- 435,"334,089 ","+/- 14,864",148 ,+/- 247,439 ,+/- 335,"7,760 ","+/- 2,433",652 ,+/- 354,235 ,+/- 210,265 ,+/- 334,"1,897 ",+/- 744,953 ,+/- 721,508 ,+/- 513,0 ,+/- 273,405 ,+/- 516,236 ,+/- 226,995 ,+/- 474,"2,139 ",+/- 991,"8,705 ","+/- 1,884",722 ,+/- 470,313 ,+/- 216,0 ,+/- 273,74 ,+/- 125,0 ,+/- 273,404 ,+/- 273,636 ,+/- 569,"2,045 ","+/- 1,189","4,884 ","+/- 1,481",0 ,+/- 273,"23,272 ","+/- 3,437","2,297 ",+/- 927,65 ,+/- 101,654 ,+/- 384,71 ,+/- 117,60 ,+/- 101,"2,346 ",+/- 919,"1,957 ","+/- 1,222","1,927 ",+/- 812,371 ,+/- 344,13 ,+/- 24,602 ,+/- 499,"2,311 ","+/- 1,010",563 ,+/- 488,680 ,+/- 353,"1,101 ",+/- 555,761 ,+/- 686,46 ,+/- 76,207 ,+/- 166,0 ,+/- 273
Delaware,185 ,+/- 225,60 ,+/- 101,324 ,+/- 386,0 ,+/- 261,214 ,+/- 217,484 ,+/- 560,539 ,+/- 430,"82,986 ","+/- 6,949",170 ,+/- 148,"1,314 ",+/- 809,304 ,+/- 354,0 ,+/- 261,0 ,+/- 261,107 ,+/- 172,502 ,+/- 505,60 ,+/- 104,237 ,+/- 271,36 ,+/- 61,288 ,+/- 330,0 ,+/- 261,"5,631 ","+/- 1,601","1,274 ",+/- 726,903 ,+/- 725,117 ,+/- 140,406 ,+/- 404,0 ,+/- 261,0 ,+/- 261,0 ,+/- 261,789 ,"+/- 1,159",84 ,+/- 100,"6,461 ","+/- 1,626",167 ,+/- 279,"3,848 ","+/- 1,362","1,038 ",+/- 962,0 ,+/- 261,280 ,+/- 413,210 ,+/- 255,0 ,+/- 273,"10,526 ","+/- 3,022",306 ,+/- 471,262 ,+/- 195,480 ,+/- 706,0 ,+/- 261,99 ,+/- 165,"1,683 ",+/- 811,0 ,+/- 261,16 ,+/- 27,"1,123 ",+/- 578,21 ,+/- 39,100 ,+/- 144,0 ,+/- 261,50 ,+/- 82
District of Columbia ,453 ,+/- 492,0 ,+/- 300,296 ,+/- 308,574 ,+/- 706,"4,178 ","+/- 1,801",489 ,+/- 382,"1,438 ",+/- 776,471 ,+/- 284,"58,181 ","+/- 6,847","2,307 ",+/- 985,501 ,+/- 348,252 ,+/- 260,47 ,+/- 77,"1,239 ",+/- 518,124 ,+/- 163,111 ,+/- 184,0 ,+/- 300,202 ,+/- 218,96 ,+/- 158,53 ,+/- 89,"14,647 ","+/- 2,724","1,659 ",+/- 714,419 ,+/- 268,0 ,+/- 300,0 ,+/- 300,355 ,+/- 336,119 ,+/- 197,102 ,+/- 175,53 ,+/- 89,108 ,+/- 112,778 ,+/- 362,107 ,+/- 194,"3,751 ",+/- 957,534 ,+/- 323,0 ,+/- 300,"1,232 ",+/- 709,0 ,+/- 300,400 ,+/- 374,"1,406 ",+/- 567,0 ,+/- 300,415 ,+/- 235,103 ,+/- 171,53 ,+/- 90,124 ,+/- 143,968 ,+/- 441,0 ,+/- 300,172 ,+/- 202,"6,365 ","+/- 1,650",586 ,+/- 512,163 ,+/- 168,204 ,+/- 178,0 ,+/- 300
